ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;2;Provincia;7;Castilla y León;40;Segovia;3175;148607;1438,85;899;13273;877,19;223;4223;772,14;
2007;2;Provincia;7;Castilla y León;42;Soria;1825;129885;1376,01;1125;13041;853,08;187;3858;644,72;
2007;2;Provincia;7;Castilla y León;47;Valladolid;9829;171552;1719,85;3731;15837;1148,70;692;4995;873,50;
2007;2;Provincia;7;Castilla y León;49;Zamora;3043;116886;1127,22;1272;10462;837,78;355;3839;754,37;
2007;2;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;38591;136422;1224,56;9236;12511;833,30;2570;4765;784,39;
2007;2;Provincia;8;Castilla-La Mancha;2;Albacete;6301;106361;1046,73;2451;12039;877,81;801;4534;808,66;
2007;2;Provincia;8;Castilla-La Mancha;13;Ciudad Real;8463;100276;988,79;2930;12572;758,17;647;3933;722,76;
2007;2;Provincia;8;Castilla-La Mancha;16;Cuenca;3804;107615;1049,47;768;11007;791,65;196;5967;773,65;
2007;2;Provincia;8;Castilla-La Mancha;19;Guadalajara;6125;177358;1607,68;1216;13424;830,73;292;6499;939,92;
2007;2;Provincia;8;Castilla-La Mancha;45;Toledo;13898;158159;1303,14;1871;12914;917,48;634;4573;737,97;
2007;2;Comunidad;9;Cataluña;98;CATALUÑA;136889;242495;2942,84;63535;18122;1357,52;8128;6147;1163,79;
2007;2;Provincia;9;Cataluña;8;Barcelona;83777;278073;3414,55;42092;19783;1528,62;4628;7064;1339,44;
2007;2;Provincia;9;Cataluña;17;Girona;20835;216802;2508,02;9287;16595;1127,64;1209;5219;980,52;
2007;2;Provincia;9;Cataluña;25;Lleida;10024;154873;1724,05;5189;14465;1059,03;1068;3916;799,47;
2007;2;Provincia;9;Cataluña;43;Tarragona;22253;173255;2135,04;6967;14717;1042,19;1223;5740;1030,74;
2007;2;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;125534;143518;1530,72;42835;14631;1098,32;10040;5348;852,70;
